feature,benefit
my smart home to be able to order delivery food by simple voice command,I can prepare dinner easily after a long day at work
my smart home to turn on certain lights at dusk,I can come home to a well-lit house
my smart home to sync with my biorhythm app and turn on some music that might suit my mood when I arrive home from work,I can be relaxed
my smart home to to ring when my favorite shows are about to start,I will never miss a minute of my favorite shows
Class Reminders,I won't be late for class
Video feed of my animals,I know they are safe when I'm away
my smart home to regulate ideal temperature according to my personal preferences and the outside temperature,I can be comfortable
my smart home to send me a text when my kid gets home from school,I can feel comfortable knowing that they made it home safely that day
my smart home to play my team's goal home when they score,I can immerse myself in a full home sports experience
my smart home to keep me up to date about my children's activities when I'm out of the home,I can know they're safe and positively occupied
my smart home to send me a push notification when my kids arrive home from school,I can know they made it home safety
shut the stove off for me,I can work on other things while the food is cooking
my smart home to have a certain television show start on my TV when I arrive home,I can immediately jump into watching it
my smart home to buzz when the shower is warm to my desired temperature,I can know when it is optimal for me to get in
my smart home to sync with my alarm in the morning to turn on the lights and shower when it's time for me to wake up,I can start my day more efficiently
my smart home to shut off the sink after two minutes when brushing my teeth,I know I have brushed my teeth for at least the minimum required amount of time
my smart home to lock the doors at night,my teenage children cannot sneak out
"my alarm to be synced to food preparation, so that my breakfast food can be on the table (or at least ready in the toaster or oven) when I'm ready to eat it",I can start my day more efficiently
Music available throughout the house,I don't have to limit my audio listening to a single room
my smart home to adjust the temperature based on the weather outside,I can save on my energy bill by not using the AC unnecessarily 
my smart home to open my garage door when it senses my vehicle arriving outside of it,I don't have to worry about carrying a remote control opener
my smart home to shut the lights off for me in rooms with nobody in them,I can save on electricity on my bills
my smart home to have auto sprinklers,automatically watering of plants occurs
my smart home to monitor my energy use and make recommendations to reduce energy consumption,I will save money on my energy bill
my smart home to buzz my room if there is a disturbance in my baby's room,I can make sure I can be there in case my baby needs anything
Control over Temperature at any time,I can save money on my electricity bill
an outdoor safety light to turn on at night when it senses something other than a family member or pet outside,I can feel safe
my smart home to notify me when someone other than a family member or trusted other is near my home,my family can be safe
"my smart home to calculate what heat sources would be the best for my home (ductless heat pump, regular furnace, space heaters, or any combination therof)",my home is comfortable and energy-efficient when the weather is cold outside
hallway motion detectors,safety is increased
"my smart home to sync all Christmas-related lights, indoor and outdoor, and turn them on and off at the appropriate time",it's more convenient for me
"my smart home to notify me when a box has been delivered at my home, preferably with the packaging information from the label",I can get easy status updates on package delivery
automatic fragrance sprinkler,"as soon as it detects bad odour, it gets activated"
"my smart home to analyze and recommend the best sources to cool my home (air conditioning, window fan, ceiling fan, ductless heat pump, etc)",I will be comfortable during hot days
a Carbon Monoxide detector ,my family is always kept safe from dangerous gasses 
automated sharp furniture sensors,"if my child nears such places, alarm goes off"
"my smart home to monitor anyone near my home's doors, windows, etc and notify me if there is someone there who does not live in the home",I will be informed quickly if a potential intruder is at my home
automated food bowl,it automatically replenishes itself at lunch time of pet
Smart appliances that give me relevant information on the food i'm cooking,Food always gets cooked as much as it's needed
my smart home to greet and take pictures of anyone who enters my home who is not a registered occupant,a person wishing to do harm at home would think twice about doing so
to be notified via smartwatch application by my smarthome when my pet's water container is low,so that my pet will always be hydrated and better taken care of 
temprature sensors,temprature of house remains constant
my smart home to inform me of any weather alerts for my area,"I can be warned of potential weather issues such as snow, high winds, etc"
my smart home to have video camera's outside my home,I always know who is at my door before checking
my smart home to provide news and updates on my hobbies,I can easily learn about new products I may be interested in
to be notified by my smarthome when my plant's soil becomes too dry ,so that I can prevent my plant from dying and therefore saving money by not having to keep purchasing new plants
my bed to come with smart features that allow me to control comfort,I get the best night's sleep I can have
my smart home to monitor my body and inform me daily or weekly when a potential health concern is noticed,so that I can be proactive and consider visiting a doctor or dentist to have the issue reviewd
automated music system ,it automatically detects my mood and plays background music according to it
"to be notified by my smarthome when my energy consumption (electricity, gas) is higher than usual",I can adjust accordingly and save money on energy bills
"my smart home to make daily recommendations of activities or foods that are good for me, ie ""the weather is perfect for a nice walk today""",I can be reminded of my health goals and good ways to achieve them
to be alerted when a window is smashed or forced opened from outside the house,I can prepare for an intruder and call the police 
socket adapters,accidental shocks are avoided
to control my stovetops with my smartphone or tablet ,if i am in another room and need to lower the temperature I am able to do that
the ability to listen to my music in every room in the house simultaneously,parties will be funner and my party guests will be better entertained
to be able to control the oven with an app on my smartphone or tablet,I may preheat the oven from another room or lower the temperature if needed without having to go to the actual appliance
"my smart home to make my bedroom the optimal temperature and lighting both when I go to sleep, and when I awaken",I will have the optimal conditions for a good night's sleep
outdoor motion sensors,Trespassers can be identified
to be able to open the garage door with my smartphone/tablet,I don't have to go down to the garage to close it if I forget 
"my smartphone to silence notifications (sounds, doorbells, TVs, etc) unless it is an emergency",I can study
air purity controller,it detects pollution and sensors get active 
my smart home to make recommendations when new movies come out that match my viewing habits,I will benefit from movie suggestions that I will probably enjoy
the electricity switches off when no one is inside the room,there will be a big saving on electricity bills
"my smartphone to create an environment (lighting, sound, temperature) ",I can study
a smart thermostat,it can manage energy efficiently and predict what type of temperatures we prefer at different times of the year
my smart home to clean the floors regularly,the house is clean
the radio system to adjust volume based on the distance of the people,avoids the use of remote control and saves battery
a smart coffee machine,my coffee will be ready in the morning when i ask it to be without having to deal with making it myself
my smart home to feed and water the pets on a schedule,they are taken care of routinely
a robot to clean windows,I dont have to risk hurting myself to wash windows in dangerous places 
the central a/c system to switch between cooling and heating based on temperature,there will be no need to manually adjust the system
a smart shower,I can save energy while using it as efficiently as possible
the door look to have an automated alarm when someone leaves or enters the room,i can monitor my young child movements at night
smart carbon monoxide detectors,I can see the amount of carbon monoxide in each room in my house on a smartphone/tablet while I'm away from my home to make sure my family is ok
i want my smart home to buzz when my child is close to an object that can potentially fall,i want my smart home to make dog barking sound when a person 
the vacuum cleaner to run automated on scheduled timings,it would help in forgetting to manually vacuum
a smart touchscreen tv implanted in the wall of each room,I can control each room uniquely and separately If i want to play music in that room or watch a show I can etc
a wireless charger for my devices,it wirelessly charges the devices when it falls below the battery limit
an app to control the shades/blinds on my windows ,I can control them easily at home or while I'm out incase I forgot to close one
a device that organizes the kitchen items and gives an alarm or places the order when it falls below the limit,i benefit of not forgetting to stock the fruits and vegetables
"Adjust temperature in room, based on my location (if near, turn on heater/cooler, if far from home turn of)",Cut energy cost 
a learning thermostat,my home will be energy efficient and comfortable
to be notified if I accidentally leave the stove or oven on,my family will be safer from fire and carbon monoxide poisioning 
an automatic garage door opener,it's easier and safer to get in and out
i want any time my room is weather adjustment ,so  i am always relax my home
my room lighting to change lighting effect based on the time of day,i benefit on a pleasant mood everytime
smart locks,my home is secure
a smart device that sends out photos of person who enter through the main gate,i would know who have come to home while we are away
My smart home to alert me via a specific sound and a text message via mobile phone that someone has approached my car positioned in my driveway,vehicle-related thefts can be minimized either when we are home or are not
to unlock the door from a remote location that has an alert with video feed,the kids don't need to wait when they get to home
smart window cleaners,I don't have to do that chore
a device that greets and welcomes guests at the doorstep,our guests would feel humbled by its gesture
outdoor motion detectors,I have an added measure of security of the property
"Doors automaticaly lock / relock if I'm near it (NFC, IR bracelet, or something similar)",no need to use key
