Extracted Glossary Terms (With WordNet Removal Total 143),Extracted Glossary Terms (Without WordNet Removal) (Total 292),Ground Truth Glossary Terms (Total 120)
accidental shock , ability, ac
actual appliance, ac, air conditioning
added measure , accidental shock, air purity controller
air purity controller , activity, air quality
anyone , actual appliance, alarm
anything , added measure, app
app , adjust, appliance
appropriate time , air, auto sprinkler
audio listening , air purity controller, automated food bowl
auto sprinkler , alarm, automated music system
automatic fragrance sprinkler , alert, automated sharp furniture sensor
automatic garage door , amount, automatic fragrance sprinkler
baby room , animal, automatic garage door opener
background music , anyone, background music
battery limit , anything, bad odour
big saving , app, biorhythm app
biorhythm app , appropriate time, blind
breakfast food , area, breakfast food
carbon monoxide , audio listening, buzz
central system , auto sprinkler, call
certain light, automatic fragrance sprinkler, carbon monoxide
certain television , automatic garage door, carbon monoxide detector
child nears, baby, ceiling fan
class reminder , baby room, certain light
daily recommendation , background music, christmas light
dangerous gas , battery, class reminder
dangerous place , battery limit, control comfort
day benefit, bed, control over temperature
desired temperature , bedroom, cooler
different time , big saving, dangerous gas
door look , bill, desired temperature
easy status update , biorhythm app, device
electricity bill , body, door
energy bill , box, doorbell
energy consumption , bracelet, ductless heat pump
energy consumption electricity gas , breakfast food, electricity
energy cost , car, emergency
energy use , carbon, energy efficient
etc , carbon monoxide, environment
family member , care, garage door
favorite show , case, hallway motion detector
food bowl , central system, heat source
food preparation , certain light, heater
full home sport , certain television, home sport experience
garage door , child, ideal temperature
good night , child nears, integrated smart electronics
good way , chore, intruder
greets , class, ir bracelet
hallway motion detector , class reminder, lighting
health goal , coffee, lock
heat source , combination, manually vacuum
home air , comfort, minimum required amount of time
home door , control, mobile phone
home ductless heat pump regular furnace space heater , convenient, monitor my energy use
home safety , cut, music
home turn , daily recommendation, nfc
house simultaneously party , dangerous gas, notification
ideal temperature , dangerous place, optimal
integrated roomba vacuum , date, optimal condition
kitchen item , day, optimal temperature
learning thermostat , day benefit, outdoor motion detector
limit benefit , dentist, outdoor motion sensor
lock relock , desired temperature, oven
long day , detector, pet water container
lunch time , device, plant soil
main gate , different time, police
minimum required amount , dinner, potential health concern
mobile phone , distance, push notification
movie suggestion , disturbance, radio system
music system , doctor, recommendation
new movie , dog, registered occupant
new product , door, regular furnace
nfc , door look, remote
nice walk today, doorbell, remote control opener
night sleep , doorstep, remote location
occurs , dusk, robot
optimal condition , easy status update, room lighting
optimal temperature , effect, sensor
order delivery food , electricity, shade
other thing , electricity bill, shock
outdoor motion detector , emergency, shower
outdoor motion sensor , energy, sink
outdoor safety light , energy bill, smart appliance
outside temperature , energy consumption, smart breakfast appliance
overall health , energy consumption electricity gas, smart carbon monoxide detector
package delivery , energy cost, smart coffee machine
packaging information , energy use, smart device
party guest , environment, smart feature
personal preference , etc, smart home
pet water container , experience, smart lock
plant soil , family, smart phone
pleasant mood everytime , family member, smart shower
